"date_time","channel","sp_title","category","sport","subsport","gender","length","description"
2023-02-19 17:55:00,"Teledeporte","Liga Femenina de baloncesto",NA,"Otros",NA,NA,110,"El Polideportivo Mendizorrotza acoge el encuentro de la 22ª jornada de la Liga Femenina entre Araski e Ibaeta. Un duelo vasco entre dos conjuntos que ocupan la mitad de la tabla y que intentan acceder a puestos más altos."
2023-02-19 19:45:00,"Teledeporte","Reportajes TDP | Atletismo",NA,"Atletismo",NA,NA,10,"Los reportajes de TDP pretenden promocionar el deporte español. Una aproximación a los atletas y a las competiciones de menor seguimiento que sirven para poner en valor el esfuerzo y el sacrificio de los participantes."
2023-02-19 19:55:00,"Teledeporte","ASOBAL",NA,"Liga ASOBAL",NA,NA,100,"Duelo de urgencias en el Pabellón La Albericia. Los dos últimos clasificados de la ASOBAL se miden en un choque con tintes dramáticos. Los cántabros, tres puntos por encima en la tabla, pretenden poner tierra de por medio. Al Club Cisne solo le vale ganar."
2023-02-19 21:35:00,"Teledeporte","Copa de la Reina de voleibol",NA,"Voleibol",NA,NA,108,"La Zona Esportiva Municipal de Sant Cugat alberga la fase final de la Copa de la Reina. Al torneo acuden los seis primeros clasificados al término de la primera vuelta de la Liga Iberdrola de voleibol. El título está en posesión del Haris."
2023-02-19 23:00:00,"Teledeporte","Estudio estadio",NA,"Fútbol",NA,NA,90,"El programa se reinventa con una nueva etapa 50 años después de su debut. El periodista deportivo Paco Caro lidera este espacio, que cuenta con la colaboración de Juan Carlos Rivero."
2023-02-20 00:31:00,"Teledeporte","Copa de la Reina de waterpolo",NA,"Waterpolo",NA,NA,74,"La piscina del CN Terrassa acoge la Copa de la Reina de waterpolo. Ocho equipos aspiran a alzarse con el trofeo en la 27ª edición de esta competición. El CN Mataró se proclamó campeón en 2022."
2023-02-20 01:45:00,"Teledeporte","Copa de Naciones",NA,"Otros",NA,NA,100,"El nivel se eleva en la Copa de Naciones. Tras firmar un gran debut (3-0 ante Jamaica), España se mide a Australia en la segunda jornada. Las Matildas, que cuentan con el público de Sídney a su favor, derrotaron 4-0 a Chequia en el estreno."
2023-02-20 03:25:00,"Teledeporte","Europeo femenino de rugby",NA,"Rugby",NA,NA,100,"España inicia la búsqueda de su sexto título europeo consecutivo que, este año, además, viene con el premio de una plaza para el WXV, el nuevo torneo global para la elite del rugby femenino. En el debut, las Leonas se miden a Países Bajos en Sitges."
2023-02-20 05:05:00,"Teledeporte","Maratón de Sevilla",NA,"Atletismo",NA,NA,150,"Las calles de Sevilla albergan la maratón de la capital andaluza. Una carrera con la participación popular y de atletas federados que se prevé muy rápida. No en vano, el circuito es el más llano de toda Europa y recorre los lugares más emblemáticos de la ciudad."
2023-02-20 07:35:00,"Teledeporte","División de Honor de baloncesto en silla de ruedas",NA,"Otros",NA,NA,85,"Los mejores clubes de baloncesto en silla de ruedas disputan la División de Honor de este deporte."
2023-02-20 09:00:00,"Teledeporte","WTA: Dubái",NA,"WTA Tour",NA,NA,130,"La de Dubái es una cita muy importante en el circuito WTA. El torneo de los Emiratos Árabes, de categoría 1000, reúne a la flor y nata del tenis femenino. Jelena Ostapenko se impuso en la edición de 2022."
2023-02-20 11:10:00,"Teledeporte","WTA: Dubái",NA,"WTA Tour",NA,NA,130,"La de Dubái es una cita muy importante en el circuito WTA. El torneo de los Emiratos Árabes, de categoría 1000, reúne a la flor y nata del tenis femenino. Jelena Ostapenko se impuso en la edición de 2022."
2023-02-20 13:20:00,"Teledeporte","WTA: Dubái",NA,"WTA Tour",NA,NA,130,"La de Dubái es una cita muy importante en el circuito WTA. El torneo de los Emiratos Árabes, de categoría 1000, reúne a la flor y nata del tenis femenino. Jelena Ostapenko se impuso en la edición de 2022."
2023-02-20 15:30:00,"Teledeporte","Resúmenes LaLiga Santander",NA,"Fútbol",NA,NA,10,"Cada semana, los 20 equipos de la Primera División pelean en una de las categorías más igualadas del fútbol mundial. Este espacio repasa los encuentros que se disputan cada jornada en LaLiga."
2023-02-20 15:40:00,"Teledeporte","Resúmenes LaLiga Santander",NA,"Fútbol",NA,NA,10,"Cada semana, los 20 equipos de la Primera División pelean en una de las categorías más igualadas del fútbol mundial. Este espacio repasa los encuentros que se disputan cada jornada en LaLiga."
2023-02-20 15:50:00,"Teledeporte","Resúmenes LaLiga Santander",NA,"Fútbol",NA,NA,10,"Cada semana, los 20 equipos de la Primera División pelean en una de las categorías más igualadas del fútbol mundial. Este espacio repasa los encuentros que se disputan cada jornada en LaLiga."
2023-02-20 16:00:00,"Teledeporte","WTA: Dubái",NA,"WTA Tour",NA,NA,130,"La de Dubái es una cita muy importante en el circuito WTA. El torneo de los Emiratos Árabes, de categoría 1000, reúne a la flor y nata del tenis femenino. Jelena Ostapenko se impuso en la edición de 2022."
2023-02-20 18:00:00,"Teledeporte","FEI Ride Show",NA,"Hípica",NA,NA,25,"Tener un caballo de competición requiere de un cuidado extenso y una conexión entre jinete y montura. Este espacio explora el mundo ecuestre de la mano de aquellos que han encontrado consuelo y compañerismo en los equinos."
2023-02-20 18:25:00,"Teledeporte","Resumen LaLiga Santander",NA,"Fútbol",NA,NA,5,"Un compendio que resume lo mejor de la Primera División del fútbol español. Los goles y las imágenes más espectaculares de LaLiga Santander centran la atención del programa."
2023-02-20 18:30:00,"Teledeporte","Resumen LaLiga Smartbank",NA,"Fútbol",NA,NA,5,"Cada semana, los 22 equipos de la Segunda División pelean en una de las categorías más igualadas del fútbol mundial. Este espacio repasa los encuentros que se disputan cada jornada en LaLiga Smartbank."
2023-02-20 18:35:00,"Teledeporte","Reportajes TDP | Atletismo",NA,"Atletismo",NA,NA,15,"Los reportajes de TDP pretenden promocionar el deporte español. Una aproximación a los atletas y a las competiciones de menor seguimiento que sirven para poner en valor el esfuerzo y el sacrificio de los participantes."
2023-02-20 18:50:00,"Teledeporte","Europeo femenino de rugby",NA,"Rugby",NA,NA,100,"España inicia la búsqueda de su sexto título europeo consecutivo que, este año, además, viene con el premio de una plaza para el WXV, el nuevo torneo global para la elite del rugby femenino. En el debut, las Leonas se miden a Países Bajos en Sitges."
2023-02-20 20:30:00,"Teledeporte","El camino del Cid: Diario de una ciclista",NA,"Viajes",NA,NA,40,"Ainara Hernando amanece en Santo Domingo de Silos. Allí conocerá al abad, que le hablará del monasterio y de su historia. Después, emprenderá su camino del destierro para detenerse en Caleruega, simpático pueblo vinculado al camino del Cid."
2023-02-20 21:05:00,"Teledeporte","Reportajes TDP | Ciclismo",NA,"Ciclismo",NA,NA,10,"Los reportajes de TDP pretenden promocionar el deporte español. Una aproximación a los atletas y a las competiciones de menor seguimiento que sirven para poner en valor el esfuerzo y el sacrificio de los participantes."
2023-02-20 21:15:00,"Teledeporte","Copa de Naciones",NA,"Otros",NA,NA,100,"El nivel se eleva en la Copa de Naciones. Tras firmar un gran debut (3-0 ante Jamaica), España se mide a Australia en la segunda jornada. Las Matildas, que cuentan con el público de Sídney a su favor, derrotaron 4-0 a Chequia en el estreno."
2023-02-20 23:00:00,"Teledeporte","Estudio estadio",NA,"Fútbol",NA,NA,91,"El programa se reinventa con una nueva etapa 50 años después de su debut. El periodista deportivo Paco Caro lidera este espacio, que cuenta con la colaboración de Juan Carlos Rivero."
2023-02-21 00:41:00,"Teledeporte","WTA: Dubái",NA,"WTA Tour",NA,NA,99,"La de Dubái es una cita muy importante en el circuito WTA. El torneo de los Emiratos Árabes, de categoría 1000, reúne a la flor y nata del tenis femenino. Jelena Ostapenko se impuso en la edición de 2022."
2023-02-21 02:20:00,"Teledeporte","WTA: Dubái",NA,"WTA Tour",NA,NA,99,"La de Dubái es una cita muy importante en el circuito WTA. El torneo de los Emiratos Árabes, de categoría 1000, reúne a la flor y nata del tenis femenino. Jelena Ostapenko se impuso en la edición de 2022."
2023-02-21 04:10:00,"Teledeporte","WTA: Dubái",NA,"WTA Tour",NA,NA,99,"La de Dubái es una cita muy importante en el circuito WTA. El torneo de los Emiratos Árabes, de categoría 1000, reúne a la flor y nata del tenis femenino. Jelena Ostapenko se impuso en la edición de 2022."
